Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-07-25,MULTI,4.06,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-26,MULTI,3.88,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-27,MULTI,3.88,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-28,MULTI,4.27,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-29,MULTI,4.33,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-30,MULTI,4.8,18639320,1,0,0.0,0.0,no unlock,0.0
2022-07-31,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-01,MULTI,4.47,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-02,MULTI,4.4,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-03,MULTI,4.29,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-04,MULTI,4.48,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-05,MULTI,5.52,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-06,MULTI,5.39,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-07,MULTI,5.36,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-08,MULTI,5.44,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-09,MULTI,6.82,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-10,MULTI,6.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-11,MULTI,6.36,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-12,MULTI,6.32,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-13,MULTI,6.38,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-14,MULTI,6.44,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-15,MULTI,6.3,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-16,MULTI,5.81,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-17,MULTI,5.7,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-18,MULTI,5.23,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-19,MULTI,5.31,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-20,MULTI,4.84,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-21,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-22,MULTI,5.0,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-23,MULTI,4.99,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-24,MULTI,5.27,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-25,MULTI,5.39,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-26,MULTI,5.36,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-27,MULTI,4.94,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-28,MULTI,4.97,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-29,MULTI,4.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-08-30,MULTI,5.09,18639320,1,0,0.0,0.0,no unlock,0.0
