Date,Symbol,Price,Unlocked Supply,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2014-09-17,DOGE,0,92514969126,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17156344950084043
2014-09-18,DOGE,0,92594194141,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08563480672203451
2014-09-20,DOGE,0,92752644172,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17112307361163104
2014-09-21,DOGE,0,92831869187,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0854153708578761
2014-09-22,DOGE,0,92911094202,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08534247526612825
2014-09-24,DOGE,0,93069544232,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.170539407980182
2014-09-25,DOGE,0,93148769247,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08512453311527032
2014-09-27,DOGE,0,93307219277,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.17010426576849605
2014-09-28,DOGE,0,93386444292,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08490770126243465
2014-09-29,DOGE,0,93465669307,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.08483566924582742
2014-10-01,DOGE,0,93624119337,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.1695275186866212
2014-10-02,DOGE,0,93750000000,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.13445324120688662
2014-10-04,DOGE,0,93810324211,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.06434582506666667
2014-10-05,DOGE,0,93853103828,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04560224832373381
2014-10-06,DOGE,0,93895883444,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04558146108667872
2014-10-08,DOGE,0,93981442678,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09112138984349402
2014-10-09,DOGE,0,94024222294,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04551921611436832
2014-10-10,DOGE,0,94067001911,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04549850661485334
2014-10-12,DOGE,0,94152561144,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09095562871340421
2014-10-13,DOGE,0,94195340761,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.045436487845053365
2014-10-15,DOGE,0,94280899994,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09083170389190244
2014-10-16,DOGE,0,94323679611,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04537463792000551
2014-10-17,DOGE,0,94366459228,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04535405868009739
2014-10-19,DOGE,0,94452018461,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.09066699513783733
2014-10-20,DOGE,0,94494798078,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04529243281091346
2014-10-22,DOGE,0,94580357311,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.0905438550483761
2014-10-23,DOGE,0,94623136928,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.04523097418561411
2014-10-24,DOGE,0,94665916545,0,0.0,0.0,first cliff unlock,0.0,0.0,0.0,0.045210525024711005
