block_height,recipient_hash,reward_amount
295,1P288r1CHfCRcHh4hqKzrYP2dohbGHmCLk,50.0
297,1AXJrJMX3B5B9vd1hRv9w52ns8fAtMNSwM,50.0
298,1H3i2DL3rDKWsbTSqXHDU3YkeDT5TGP3cy,50.0
299,1HtKKEB428rBJxQ6pGMusuGH6SxVjruydf,50.0
300,1Pi8agZKamjLJxfeGRUpGWGQimb8N21Hig,50.0
301,1NFvr69GyzW3GLGdsNKZ8vW5yRa5Ndy8D,50.0
302,1ELTDVM85P22TdMkK6asC5Sxzywafi1JKL,50.0
303,1CKpZiWmAKZywrXx2ocrP58NMUnupUhKbG,50.0
304,13ZhaKAv6Rb73ycrL868x3LA5xfnmE7Xyj,50.0
305,1HMvTfyWMdJ6rP2LjQ92tPL6Qmt53fBScr,50.0
306,1C2XQeritz4rkdff9kiUtL9MPUrH3KXkd2,50.0
307,1F69kZBVERfCmMzj8MvXm8U8p27isphqtY,50.0
308,1KsYkCquJGy8nofXCRSmKWyLzeSqUogDXy,50.0
310,1JJbYrEQmkFnhqYPKxDDQSRgiXmfGAHGSf,50.0
312,1KeKbw9x6urEdT8MTAqbepwVg1Z6esxM5e,50.0
313,17oK57YwK6C2kAF8WE4azAJandBFSe1noK,50.0
314,19SokuYu8wkKVvxjE7fQySJBxA7DvW2cvn,50.0
315,13Vt63i4G1uMhfnkK62abVNtKwYDpNf3qz,50.0
316,1Kx5jZqcrc5xoYxz1CnWMNQSKK7GfSBNC5,50.0
318,1DobHRwghQkKgLg9ZDSRP5veTyKhJ4xq7h,50.0
319,1KvPSnCYQQeKDiyxZ1uD5MuFBWk1u1G4zv,50.0
321,14CSP7wTwnse4FXfbqY7XNu89w3Ns7GwiX,50.0
322,1GyeTSnLLJGjMEwTtbKAyKszt9K4iUuYjH,50.0
323,1QCL4pVUEPMQQ792MEnLPdX7ZDUmyySc3a,50.0
324,13FnhkPLznaoRYPB34LFtU33dDnZxe1eze,50.0
325,1GxmPv6ojoDmxucsYKL3Hra4Nu7CqxQNmW,50.0
326,1KudEnDg6gcb2Qxiz9PWFzxqdgrcDVWA4Y,50.0
327,1ATiXZcTkgnBzDBZ1T1cX3b1fNvAQ7Qmin,50.0
328,1ELjm88xyqdU5cd5o5JpJuuWbdQfakRaKD,50.0
330,1CSJo2CFEyN7Pzcnzd7JRLv5WUAfZZ1AWB,50.0
331,1CRVKdW1nJrZSGUfZU6iSXhK1MQqsnjpz3,50.0
332,19TmydgkVKcuBPrNauXc9XSusG3brEMXxh,50.0
333,16WDW7nE6pfAyZkrCdkgFmeMAKrESaB1un,50.0
335,127xfzeX9eAVVUWsjGgNDgQdVMBFtcJXEg,50.0
336,1FmLy39wYNs2XwcLxRAVhQFm15smygrL2V,50.0
337,19qDF4DVaRv86siDoBzXYaWcAbrvPFYZz7,50.0
338,1PLPuVjBWd9DWRaVDzFURMSkZmzqCjGedL,50.0
339,1NLNkBF9rNTKd4efsS71rKKwnmdDqWMA17,50.0
340,1PonKTKjsFUkUm7RwxejxPtzcX9M3YzQY4,50.0
341,19hEejxnZPpzLNGc2BbAmpbkxpjwqhbejy,50.0
342,1LH4HM3m9K53kpZ8w3sPeEYmMd6z1z6DhG,50.0
343,1LJGRuqGmMp3vjhJQpuRgFTnd7h7v5yDLp,50.0
344,1CYqkzUCSCxa2r2wmxmu2xY32y1LxaUEhu,50.0
345,1FzsCEkmp3WRzEHhGSsuhhpkSDuhdbq9hz,50.0
346,1NG1yMNjJLPnjsXAa7rpQZhCbmM8UUN5mo,50.0
347,1JxgVi59npkWPPU57Kr9MAb5uwhWj6Gp6w,50.0
348,16oMqP6mFLAAWbpxGf6Bo5F9SHUpgutwxa,50.0
349,18ic1RDi1AjZkrqxgDxnsibEFWSvmVRoZ7,50.0
350,13SxLs9mUbCyXrJ273nJLShaFq5dmDNiJM,50.0
351,1H79k9G7Fcy9NYn62cswr5h1VJPaygs6Gw,50.0
352,1PdFaLjq38qFWsFqkvUfG7JwBfnsuxLsL6,50.0
353,19P6K24sBGWhT6F6xXE7ppGjJnTjdkiMQS,50.0
354,1BjQyJZBf1B4DuQNkrLb9Leu985GPpzZRT,50.0
355,1HkNu2cAvgrpg6evAg7KDTo5n7magkMMXh,50.0
356,1DKw14Gr3w8rPQV2mHLaami1pzpHy8M1vy,50.0
358,1FjA2SSx4xu4q33GgsRnuezZEQVsMH3kg9,50.0
359,1Nyeey2zgSV1bSTFca6zon7z1raoMuHqeZ,50.0
362,1FFEtukmcb23HaeAFHXc5tWEQxJrJcFVoK,50.0
363,1MWsRH8mA36a4LqzvbqEJi4et2HVcDkKyK,50.0
364,1Kn9FZNVtKs1SGGqa3jnq6zdnopXHhTmpQ,50.0
365,1KtbSCLMna1guMWPjMyQwXNsGdi94rJJAk,50.0
366,1BHP5ctS55e6FR4SqidpdeYEzEfmKCfEz9,50.0
367,12CnxFWVZq59tbsgoSn6TJWArWLoiJDRNk,50.0
368,1B74mH4g8X7xwoxVwpLgCSvbd229KVSEqH,50.0
369,17uH84gEsksgt8dCLsBNozWcau2Xr91LuS,50.0
370,1HArN1vwJ1dy8Xv8LqhZJcp63Fwd9f4V2N,50.0
371,16u9zezdrdYGj4pEp3GQPG2rmoG3yF2jLx,50.0
373,1PELCFMj1gLPYPerRUG8Jo4tdqgaVuzHfp,50.0
374,1AGBe9x18wpRiRTY7mUY4VwJWeVAR8WNB7,50.0
375,1Jfe1uxiuxq6zxeaSnSZGA9CjAh8zrDZCU,50.0
376,1FbxJu9Honm2jkE4iFrjxQMqLXutXF9cpV,50.0
377,1GT4RxAFPJFWVixeirmjARStHwfhwwfjc7,50.0
378,1Lyr6LaJTG6n9r5imdH4gELxkzJsbQxhAu,50.0
379,13wdUr5phHen1PP1dK8NP9jGQqpk8PZm6A,50.0
380,17md2fmB4FenCdGZAQdHkVQLAuaKQ2hnVp,50.0
381,12giTBKtUMH52G6VUX3RwAcAszDgu3brXF,50.0
382,1CFWnwazRxwEVjzMsvseJPbg19VUZYRQto,50.0
383,1FowJFNmVX1mp8P81cvm6HK4Y7tsPyTcRF,50.0
384,1Cev2okbpwDPH3jPoHEWJFdrFCrmfodv9N,50.0
385,1M25afExu5qjfC5gaeAhjfzNnDDLG5XaBy,50.0
386,15CPBGqhqwi26vgA1TmRHgjSsQCbnrvJRk,50.0
387,1HRmFHUMtQdSr4y8kmq9o2ndVueuXGsF2G,50.0
388,1AnHrnD7UbCVwHwWkBYiE9fTpvEnNiitVc,50.0
389,1B1r9TQDiX2U2boVKToMRjpcYgjvzpkWp7,50.0
390,1GciAZF9X4HWfwXpTvJWLxrjEDWsLJcZ5J,50.0
391,1Ami8JxY2Yc1FWuQVnWscron1D2PiWxskP,50.0
392,19mRUvwRVueDy7rap4fQDkzz9XUa5rhso1,50.0
393,1KasxLaoYr3JCnZmesrhYGuVxv6vTHQu2d,50.0
395,18YbbNd4uLSPXkcWifNRK3JZQ7JVRnMXHa,50.0
396,16ucnLgySRLYy2mvBuXFZPZCRM8DoFY46W,50.0
397,1Kz7UyXbgSxL83hN8jArHqQcE1obqsK1B4,50.0
398,1By25jX8SptxkHFrFJrgbxhuB83C5GGXnc,50.0
399,1FqZ84KUqEE7qJVRRTauLXYRjt1JfyPo71,50.0
400,1562oGAGjMnQU5VsppQ8R2Hs4ab6WaeGBW,50.0
401,1LTLwGgVR4ey139PezChWfFWbZnGVCEmym,50.0
402,12DjDWvXifrxizvn7rdQdYqrq9jnY6iA4F,50.0
403,17FNKvUnLaB8zJve72S2E777ZDEZBBRBk8,50.0
404,1AUsn9BUs7RaxdPoHuyfDgZ2uQ6kWHRonh,50.0
405,1GL6i1ty44RnERgqYLKS1CrnhrahW4JhQZ,50.0
406,1FbaHimqo6FAQbyrnUjiMutgwpocLDw4bS,50.0
