Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Oct 06 2025,BONK,98333029197080.05,77233029197080.03,5300000000000.00,15800000000000.00,19333029197080.02,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 05 2025,BONK,98313868613138.42,77213868613138.42,5300000000000.00,15800000000000.00,19313868613138.42,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 04 2025,BONK,98294708029196.80,77194708029196.81,5300000000000.00,15800000000000.00,19294708029196.81,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 02 2025,BONK,98256386861313.60,77156386861313.60,5300000000000.00,15800000000000.00,19256386861313.60,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Oct 01 2025,BONK,98237226277372.00,77137226277372.00,5300000000000.00,15800000000000.00,19237226277372.00,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Sep 30 2025,BONK,98218065693430.40,77118065693430.39,5300000000000.00,15800000000000.00,19218065693430.39,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Sep 28 2025,BONK,98179744525547.20,77079744525547.19,5300000000000.00,15800000000000.00,19179744525547.18,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Sep 27 2025,BONK,98160583941605.58,77060583941605.58,5300000000000.00,15800000000000.00,19160583941605.58,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Sep 26 2025,BONK,98141423357663.95,77041423357663.97,5300000000000.00,15800000000000.00,19141423357663.97,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Sep 24 2025,BONK,98103102189780.77,77003102189780.75,5300000000000.00,15800000000000.00,19103102189780.76,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
