Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Jan 20 2028,GMX,13154435.48,13154435.48,1904435.48,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 17 2028,GMX,13153225.81,13153225.81,1903225.81,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 14 2028,GMX,13152016.13,13152016.13,1902016.13,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 11 2028,GMX,13150806.45,13150806.45,1900806.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 08 2028,GMX,13149596.77,13149596.77,1899596.77,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 05 2028,GMX,13148387.10,13148387.10,1898387.10,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Jan 02 2028,GMX,13147177.42,13147177.42,1897177.42,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 30 2027,GMX,13145967.74,13145967.74,1895967.74,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 27 2027,GMX,13144758.06,13144758.06,1894758.06,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 24 2027,GMX,13143548.39,13143548.39,1893548.39,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 21 2027,GMX,13142338.71,13142338.71,1892338.71,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 18 2027,GMX,13141129.03,13141129.03,1891129.03,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 15 2027,GMX,13139919.35,13139919.35,1889919.35,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 12 2027,GMX,13138709.68,13138709.68,1888709.68,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 09 2027,GMX,13137500.00,13137500.00,1887500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 06 2027,GMX,13136250.00,13136250.00,1886250.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Dec 03 2027,GMX,13135000.00,13135000.00,1885000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 30 2027,GMX,13133750.00,13133750.00,1883750.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 27 2027,GMX,13132500.00,13132500.00,1882500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 24 2027,GMX,13131250.00,13131250.00,1881250.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 21 2027,GMX,13130000.00,13130000.00,1880000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 18 2027,GMX,13128750.00,13128750.00,1878750.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 15 2027,GMX,13127500.00,13127500.00,1877500.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Nov 11 2027,GMX,13125833.33,13125833.33,1875833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
