Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Mar 20 2029,PENDLE,368210282.83,368210282.83,144378783.83,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 16 2029,PENDLE,368159878.48,368159878.48,144328379.48,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 12 2029,PENDLE,368109474.13,368109474.13,144277975.13,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 08 2029,PENDLE,368059069.78,368059069.78,144227570.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 04 2029,PENDLE,368008665.42,368008665.42,144177166.42,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Mar 01 2029,PENDLE,367970862.16,367970862.16,144139363.16,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 25 2029,PENDLE,367920457.81,367920457.81,144088958.81,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 21 2029,PENDLE,367870053.46,367870053.46,144038554.46,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 17 2029,PENDLE,367819649.11,367819649.11,143988150.11,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 13 2029,PENDLE,367769244.75,367769244.75,143937745.75,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 09 2029,PENDLE,367718840.40,367718840.40,143887341.40,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 05 2029,PENDLE,367668436.05,367668436.05,143836937.05,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Feb 01 2029,PENDLE,367618031.70,367618031.70,143786532.70,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 28 2029,PENDLE,367567627.35,367567627.35,143736128.35,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 24 2029,PENDLE,367517223.00,367517223.00,143685724.00,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 20 2029,PENDLE,367466818.64,367466818.64,143635319.64,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 16 2029,PENDLE,367416414.29,367416414.29,143584915.29,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 12 2029,PENDLE,367366009.94,367366009.94,143534510.94,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 08 2029,PENDLE,367315605.59,367315605.59,143484106.59,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jan 04 2029,PENDLE,367265201.24,367265201.24,143433702.24,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
