Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Sep 20 2033,LQTY,99993985.45,99993985.45,31993985.45,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 14 2033,LQTY,99993921.23,99993921.23,31993921.23,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 08 2033,LQTY,99993857.02,99993857.02,31993857.02,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 01 2033,LQTY,99993782.11,99993782.11,31993782.11,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 26 2033,LQTY,99993717.89,99993717.89,31993717.89,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 20 2033,LQTY,99993653.68,99993653.68,31993653.68,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 14 2033,LQTY,99993589.47,99993589.47,31993589.47,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 07 2033,LQTY,99993514.55,99993514.55,31993514.55,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 01 2033,LQTY,99993450.34,99993450.34,31993450.34,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 26 2033,LQTY,99993386.13,99993386.13,31993386.13,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 20 2033,LQTY,99993321.92,99993321.92,31993321.92,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 13 2033,LQTY,99993247.00,99993247.00,31993247.00,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 07 2033,LQTY,99993182.79,99993182.79,31993182.79,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 01 2033,LQTY,99993118.58,99993118.58,31993118.58,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 25 2033,LQTY,99993054.37,99993054.37,31993054.37,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 18 2033,LQTY,99992979.45,99992979.45,31992979.45,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 12 2033,LQTY,99992915.24,99992915.24,31992915.24,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
