Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Aug 02 2044,AGIX,1985474050.20,1985474050.20,985474050.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 22 2044,AGIX,1985252842.80,1985252842.80,985252842.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 11 2044,AGIX,1985252842.80,1985252842.80,985252842.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 30 2044,AGIX,1985252842.80,1985252842.80,985252842.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 18 2044,AGIX,1985028266.80,1985028266.80,985028266.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 07 2044,AGIX,1985028266.80,1985028266.80,985028266.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 27 2044,AGIX,1984800270.90,1984800270.90,984800270.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 16 2044,AGIX,1984800270.90,1984800270.90,984800270.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 04 2044,AGIX,1984800270.90,1984800270.90,984800270.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 23 2044,AGIX,1984568802.90,1984568802.90,984568802.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 12 2044,AGIX,1984568802.90,1984568802.90,984568802.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 01 2044,AGIX,1984568802.90,1984568802.90,984568802.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 21 2044,AGIX,1984333810.10,1984333810.10,984333810.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 09 2044,AGIX,1984333810.10,1984333810.10,984333810.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 27 2044,AGIX,1984095238.70,1984095238.70,984095238.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 16 2044,AGIX,1984095238.70,1984095238.70,984095238.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 05 2044,AGIX,1984095238.70,1984095238.70,984095238.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 24 2044,AGIX,1983853034.20,1983853034.20,983853034.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 13 2044,AGIX,1983853034.20,1983853034.20,983853034.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 02 2044,AGIX,1983853034.20,1983853034.20,983853034.20,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 22 2043,AGIX,1983607141.30,1983607141.30,983607141.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 11 2043,AGIX,1983607141.30,1983607141.30,983607141.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 29 2043,AGIX,1983607141.30,1983607141.30,983607141.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 18 2043,AGIX,1983357503.90,1983357503.90,983357503.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 07 2043,AGIX,1983357503.90,1983357503.90,983357503.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 27 2043,AGIX,1983104064.80,1983104064.80,983104064.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 15 2043,AGIX,1983104064.80,1983104064.80,983104064.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 04 2043,AGIX,1983104064.80,1983104064.80,983104064.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 23 2043,AGIX,1982846766.30,1982846766.30,982846766.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 12 2043,AGIX,1982846766.30,1982846766.30,982846766.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 01 2043,AGIX,1982846766.30,1982846766.30,982846766.30,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 20 2043,AGIX,1982585549.60,1982585549.60,982585549.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 09 2043,AGIX,1982585549.60,1982585549.60,982585549.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 29 2043,AGIX,1982585549.60,1982585549.60,982585549.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 18 2043,AGIX,1982320354.90,1982320354.90,982320354.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jul 06 2043,AGIX,1982320354.90,1982320354.90,982320354.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 25 2043,AGIX,1982051121.70,1982051121.70,982051121.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 14 2043,AGIX,1982051121.70,1982051121.70,982051121.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jun 03 2043,AGIX,1982051121.70,1982051121.70,982051121.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 23 2043,AGIX,1981777788.60,1981777788.60,981777788.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
May 11 2043,AGIX,1981777788.60,1981777788.60,981777788.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 30 2043,AGIX,1981777788.60,1981777788.60,981777788.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 19 2043,AGIX,1981500292.90,1981500292.90,981500292.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 08 2043,AGIX,1981500292.90,1981500292.90,981500292.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 27 2043,AGIX,1981218571.50,1981218571.50,981218571.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 16 2043,AGIX,1981218571.50,1981218571.50,981218571.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 05 2043,AGIX,1981218571.50,1981218571.50,981218571.50,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 22 2043,AGIX,1980932559.90,1980932559.90,980932559.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 11 2043,AGIX,1980932559.90,1980932559.90,980932559.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 30 2043,AGIX,1980932559.90,1980932559.90,980932559.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 19 2043,AGIX,1980642192.80,1980642192.80,980642192.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 08 2043,AGIX,1980642192.80,1980642192.80,980642192.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 28 2042,AGIX,1980642192.80,1980642192.80,980642192.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 16 2042,AGIX,1980347403.90,1980347403.90,980347403.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 05 2042,AGIX,1980347403.90,1980347403.90,980347403.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 24 2042,AGIX,1980048125.80,1980048125.80,980048125.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 13 2042,AGIX,1980048125.80,1980048125.80,980048125.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 02 2042,AGIX,1980048125.80,1980048125.80,980048125.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 21 2042,AGIX,1979744290.10,1979744290.10,979744290.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 10 2042,AGIX,1979744290.10,1979744290.10,979744290.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
