Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Dec 19 2047,FIL,0,1994823824.74,1694823824.74,300000000.00,324823824.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 18 2047,FIL,0,1994818804.20,1694818804.20,300000000.00,324818804.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 18 2047,FIL,0,1994818804.20,1694818804.20,300000000.00,324818804.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 17 2047,FIL,0,1994813783.66,1694813783.66,300000000.00,324813783.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 16 2047,FIL,0,1994808763.12,1694808763.12,300000000.00,324808763.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 15 2047,FIL,0,1994803742.58,1694803742.58,300000000.00,324803742.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 15 2047,FIL,0,1994803742.58,1694803742.58,300000000.00,324803742.58,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 14 2047,FIL,0,1994798722.04,1694798722.04,300000000.00,324798722.04,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 13 2047,FIL,0,1994793701.51,1694793701.51,300000000.00,324793701.51,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 12 2047,FIL,0,1994788680.97,1694788680.97,300000000.00,324788680.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 12 2047,FIL,0,1994788680.97,1694788680.97,300000000.00,324788680.97,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 11 2047,FIL,0,1994783660.43,1694783660.43,300000000.00,324783660.43,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 10 2047,FIL,0,1994778639.89,1694778639.89,300000000.00,324778639.89,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 09 2047,FIL,0,1994773619.35,1694773619.35,300000000.00,324773619.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 09 2047,FIL,0,1994773619.35,1694773619.35,300000000.00,324773619.35,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 08 2047,FIL,0,1994768598.81,1694768598.81,300000000.00,324768598.81,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 07 2047,FIL,0,1994763578.27,1694763578.27,300000000.00,324763578.27,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 06 2047,FIL,0,1994758557.74,1694758557.74,300000000.00,324758557.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 06 2047,FIL,0,1994758557.74,1694758557.74,300000000.00,324758557.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 05 2047,FIL,0,1994753537.20,1694753537.20,300000000.00,324753537.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 04 2047,FIL,0,1994748516.66,1694748516.66,300000000.00,324748516.66,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 03 2047,FIL,0,1994743496.12,1694743496.12,300000000.00,324743496.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Dec 03 2047,FIL,0,1994743496.12,1694743496.12,300000000.00,324743496.12,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
